run,profit,sales,lost,leftover,refilled,distance
207,1920.0,970,430,30,811,162.0
208,1712.0,956,440,44,823,186.0
209,2440.0,991,363,9,800,130.0
210,2268.0,983,382,17,812,156.0
211,2272.0,984,384,16,807,150.0
212,2316.0,991,394,9,810,152.0
213,2172.0,986,415,14,816,158.0
214,2560.0,996,348,4,802,125.0
215,1948.0,962,399,38,815,184.0
216,2368.0,998,402,2,813,136.0
217,2236.0,995,426,5,831,168.0
218,1776.0,947,397,53,816,192.0
219,2312.0,986,380,14,828,186.0
220,2448.0,995,373,5,829,160.0
221,2220.0,983,394,17,822,143.0
222,2440.0,1000,390,0,814,134.0
223,2456.0,994,368,6,805,139.0
224,1964.0,989,476,11,819,158.0
225,1640.0,958,464,42,821,188.0
226,2476.0,987,342,13,816,172.0
227,2272.0,996,420,4,803,127.0
228,2144.0,999,461,1,800,126.0
229,2244.0,991,412,9,814,146.0
230,1400.0,929,437,71,818,180.0
231,2296.0,987,387,13,825,154.0
232,2640.0,997,331,3,803,130.0
233,2452.0,995,372,5,809,146.0
234,2480.0,998,374,2,811,127.0
235,2364.0,1000,409,0,800,118.0
236,2200.0,1000,450,0,800,123.0
237,2368.0,1000,408,0,800,115.0
238,2280.0,985,385,15,832,183.0
239,2468.0,1000,383,0,801,113.0
240,2620.0,995,330,5,805,133.0
241,2496.0,998,370,2,800,128.0
242,2544.0,1000,364,0,803,118.0
243,2048.0,959,365,41,822,180.0
244,2484.0,1000,379,0,800,129.0
245,2736.0,998,310,2,816,136.0
246,2332.0,989,384,11,826,170.0
247,2532.0,1000,367,0,815,138.0
248,2388.0,1000,403,0,800,123.0
249,2344.0,993,393,7,819,156.0
250,2204.0,989,416,11,809,133.0
251,2496.0,1000,376,0,800,119.0
252,1908.0,968,427,32,817,184.0
253,2580.0,997,346,3,821,160.0
254,2604.0,1000,349,0,809,118.0
255,2216.0,988,410,12,820,162.0
256,2548.0,987,324,13,815,137.0
257,1148.0,927,494,73,809,181.0
258,2368.0,994,390,6,820,158.0
